movie_id,rating_average,rating_count,demographic
137523,8.8,1909561,total
137523,8.8,1121296,gender_m
137523,8.7,241766,gender_f
137523,9.0,924,age_0_17
137523,8.9,350150,age_18_29
137523,8.9,773366,age_30_44
137523,8.3,156995,age_45_99
114709,8.3,912462,total
114709,8.3,517173,gender_m
114709,8.2,134227,gender_f
114709,8.3,798,age_0_17
114709,8.4,183468,age_18_29
114709,8.3,348088,age_30_44
114709,8.2,81786,age_45_99
80684,8.7,1187282,total
80684,8.8,731560,gender_m
80684,8.5,110628,gender_f
80684,8.9,805,age_0_17
80684,8.7,184306,age_18_29
80684,8.7,460333,age_30_44
80684,8.8,149324,age_45_99
169547,8.3,1091505,total
169547,8.4,640149,gender_m
169547,8.1,172749,gender_f
169547,8.6,330,age_0_17
169547,8.5,166723,age_18_29
169547,8.3,482958,age_30_44
169547,8.1,127867,age_45_99
114814,8.5,1014384,total
114814,8.5,643834,gender_m
114814,8.4,99111,gender_f
114814,8.3,371,age_0_17
114814,8.5,151735,age_18_29
114814,8.5,428193,age_30_44
114814,8.5,128396,age_45_99
114369,8.6,1490918,total
114369,8.6,879753,gender_m
114369,8.4,184420,gender_f
114369,8.8,703,age_0_17
114369,8.6,254217,age_18_29
114369,8.6,603436,age_30_44
114369,8.4,145216,age_45_99
116629,7.0,542525,total
116629,7.0,354923,gender_m
116629,7.1,56805,gender_f
116629,7.0,125,age_0_17
116629,7.0,62252,age_18_29
116629,7.0,258050,age_30_44
116629,6.8,74823,age_45_99
112384,7.6,276843,total
112384,7.6,177351,gender_m
112384,7.6,29801,gender_f
112384,7.5,71,age_0_17
112384,7.7,29151,age_18_29
112384,7.6,123132,age_30_44
112384,7.7,47677,age_45_99
82971,8.4,904449,total
82971,8.5,566988,gender_m
82971,8.2,89898,gender_f
82971,8.4,465,age_0_17
82971,8.2,120009,age_18_29
82971,8.4,364721,age_30_44
82971,8.7,141410,age_45_99
120737,8.8,1706053,total
120737,8.8,999679,gender_m
120737,8.8,222899,gender_f
120737,8.8,835,age_0_17
120737,8.9,301361,age_18_29
120737,8.8,678384,age_30_44
120737,8.6,172119,age_45_99
86190,8.3,972693,total
86190,8.3,597795,gender_m
86190,8.3,92849,gender_f
86190,8.3,655,age_0_17
86190,8.3,154090,age_18_29
86190,8.3,378074,age_30_44
86190,8.2,118705,age_45_99
68646,9.2,1674452,total
68646,9.2,1031259,gender_m
68646,8.9,157316,gender_f
68646,9.2,1005,age_0_17
68646,9.2,273508,age_18_29
68646,9.2,667865,age_30_44
68646,9.1,179551,age_45_99
106977,7.8,274629,total
106977,7.8,182888,gender_m
106977,7.7,24496,gender_f
106977,7.8,69,age_0_17
106977,7.8,24446,age_18_29
106977,7.8,125474,age_30_44
106977,7.8,51407,age_45_99
96895,7.5,345908,total
96895,7.5,229163,gender_m
96895,7.5,32667,gender_f
96895,7.7,163,age_0_17
96895,7.4,40359,age_18_29
96895,7.6,166970,age_30_44
96895,7.3,45385,age_45_99
167261,8.7,1523402,total
167261,8.7,901495,gender_m
167261,8.7,196246,gender_f
167261,8.7,716,age_0_17
167261,8.9,273386,age_18_29
167261,8.7,612672,age_30_44
167261,8.5,146949,age_45_99
120815,8.6,1273616,total
120815,8.6,796834,gender_m
120815,8.1,115129,gender_f
120815,8.6,568,age_0_17
120815,8.7,201711,age_18_29
120815,8.5,511238,age_30_44
120815,8.5,145536,age_45_99
167260,8.9,1684925,total
167260,8.9,1004276,gender_m
167260,8.8,212100,gender_f
167260,9.0,792,age_0_17
167260,9.1,302922,age_18_29
167260,8.8,682832,age_30_44
167260,8.7,157683,age_45_99
103639,8.0,381956,total
103639,8.0,203205,gender_m
103639,8.2,78724,gender_f
103639,7.9,278,age_0_17
103639,8.0,72724,age_18_29
103639,8.1,165953,age_30_44
103639,7.7,30344,age_45_99
116282,8.1,634091,total
116282,8.1,400715,gender_m
116282,8.0,65573,gender_f
116282,8.2,213,age_0_17
116282,8.1,87029,age_18_29
116282,8.1,262859,age_30_44
116282,8.3,97387,age_45_99
167404,8.1,930216,total
167404,8.1,551905,gender_m
167404,8.2,142835,gender_f
167404,8.3,306,age_0_17
167404,8.2,132483,age_18_29
167404,8.1,412304,age_30_44
167404,8.2,118723,age_45_99
111503,7.2,243351,total
111503,7.2,167308,gender_m
111503,7.2,19026,gender_f
111503,7.4,34,age_0_17
111503,7.2,17165,age_18_29
111503,7.2,120762,age_30_44
111503,7.3,42205,age_45_99
114746,8.0,589401,total
114746,8.0,392397,gender_m
114746,7.9,58994,gender_f
114746,7.9,140,age_0_17
114746,7.9,71504,age_18_29
114746,8.0,279171,age_30_44
114746,8.0,84559,age_45_99
110357,8.5,969486,total
110357,8.4,522878,gender_m
110357,8.8,171675,gender_f
110357,8.4,760,age_0_17
110357,8.7,201785,age_18_29
110357,8.5,380165,age_30_44
110357,7.9,71496,age_45_99
88763,8.5,1092939,total
88763,8.5,645156,gender_m
88763,8.3,129581,gender_f
88763,8.7,808,age_0_17
88763,8.5,170670,age_18_29
88763,8.6,431939,age_30_44
88763,8.4,127830,age_45_99
111257,7.2,338771,total
111257,7.2,221757,gender_m
111257,7.3,39137,gender_f
111257,7.8,98,age_0_17
111257,7.3,39005,age_18_29
111257,7.2,168123,age_30_44
111257,7.2,44694,age_45_99
126029,7.9,629938,total
126029,7.8,355175,gender_m
126029,8.0,106242,gender_f
126029,8.0,441,age_0_17
126029,7.9,119466,age_18_29
126029,7.8,257299,age_30_44
126029,7.9,65313,age_45_99
172495,8.5,1378278,total
172495,8.5,848106,gender_m
172495,8.3,149441,gender_f
172495,8.3,543,age_0_17
172495,8.6,218744,age_18_29
172495,8.5,575837,age_30_44
172495,8.3,144874,age_45_99
119654,7.3,528508,total
119654,7.3,334925,gender_m
119654,7.3,61275,gender_f
119654,7.6,248,age_0_17
119654,7.4,82342,age_18_29
119654,7.3,233461,age_30_44
119654,7.3,63607,age_45_99
99348,8.0,247087,total
99348,8.0,157932,gender_m
99348,7.9,29638,gender_f
99348,7.3,51,age_0_17
99348,8.0,21151,age_18_29
99348,8.0,107730,age_30_44
99348,8.0,51721,age_45_99
117060,7.1,397536,total
117060,7.2,266843,gender_m
117060,7.0,34601,gender_f
117060,7.4,207,age_0_17
117060,7.2,55906,age_18_29
117060,7.1,182954,age_30_44
117060,7.0,50010,age_45_99
109040,6.9,283661,total
109040,6.9,188833,gender_m
109040,6.6,31561,gender_f
109040,6.9,115,age_0_17
109040,6.9,43747,age_18_29
109040,7.0,141353,age_30_44
109040,6.5,27078,age_45_99
209144,8.4,1153093,total
209144,8.5,713736,gender_m
209144,8.2,137304,gender_f
209144,8.6,508,age_0_17
209144,8.5,198205,age_18_29
209144,8.5,499401,age_30_44
209144,8.2,112841,age_45_99
110475,6.9,357300,total
110475,6.9,228948,gender_m
110475,6.7,45761,gender_f
110475,7.1,178,age_0_17
110475,7.0,62193,age_18_29
110475,6.9,169263,age_30_44
110475,6.7,32424,age_45_99
325980,8.0,1033375,total
325980,8.0,611631,gender_m
325980,8.2,165357,gender_f
325980,8.3,476,age_0_17
325980,8.2,210287,age_18_29
325980,8.0,435531,age_30_44
325980,7.7,91269,age_45_99
468569,9.0,2378583,total
468569,9.0,1440233,gender_m
468569,8.7,257019,gender_f
468569,9.2,1605,age_0_17
468569,9.2,454743,age_18_29
468569,9.0,960181,age_30_44
468569,8.4,167521,age_45_99
78748,8.4,810121,total
78748,8.5,515748,gender_m
78748,8.2,75141,gender_f
78748,8.5,377,age_0_17
78748,8.3,107104,age_18_29
78748,8.4,331528,age_30_44
78748,8.7,122827,age_45_99
101414,8.0,424044,total
101414,7.8,208736,gender_m
101414,8.5,107144,gender_f
101414,7.9,244,age_0_17
101414,8.0,84043,age_18_29
101414,8.0,180724,age_30_44
101414,7.8,36077,age_45_99
95016,8.2,809559,total
95016,8.3,530247,gender_m
95016,7.9,72335,gender_f
95016,8.2,301,age_0_17
95016,8.1,110586,age_18_29
95016,8.2,355201,age_30_44
95016,8.2,107617,age_45_99
112864,7.6,369855,total
112864,7.6,263526,gender_m
112864,7.4,26728,gender_f
112864,7.6,80,age_0_17
112864,7.6,43957,age_18_29
112864,7.6,188018,age_30_44
112864,7.3,47083,age_45_99
107614,7.0,252102,total
107614,6.9,141059,gender_m
107614,7.3,49073,gender_f
107614,7.6,89,age_0_17
107614,7.2,35951,age_18_29
107614,7.0,116252,age_30_44
107614,6.8,30456,age_45_99
107048,8.0,589293,total
107048,8.1,371030,gender_m
107048,7.6,75691,gender_f
107048,8.2,207,age_0_17
107048,7.9,81525,age_18_29
107048,8.0,259796,age_30_44
107048,8.1,86993,age_45_99
1375666,8.8,2134930,total
1375666,8.8,1232265,gender_m
1375666,8.6,286311,gender_f
1375666,9.1,1317,age_0_17
1375666,9.0,440029,age_18_29
1375666,8.8,823023,age_30_44
1375666,8.2,152537,age_45_99
93779,8.1,401738,total
93779,8.0,211020,gender_m
93779,8.2,83125,gender_f
93779,7.9,152,age_0_17
93779,7.9,50860,age_18_29
93779,8.0,163495,age_30_44
93779,8.2,68410,age_45_99
119217,8.3,887287,total
119217,8.3,518691,gender_m
119217,8.2,124149,gender_f
119217,8.4,365,age_0_17
119217,8.5,156225,age_18_29
119217,8.3,358828,age_30_44
119217,8.1,93552,age_45_99
266543,8.1,971767,total
266543,8.1,532276,gender_m
266543,8.3,172644,gender_f
266543,8.0,679,age_0_17
266543,8.2,204108,age_18_29
266543,8.1,377872,age_30_44
266543,8.1,81776,age_45_99
111282,7.1,179969,total
111282,7.0,126031,gender_m
111282,7.3,16462,gender_f
111282,6.8,15,age_0_17
111282,6.9,10899,age_18_29
111282,7.1,91756,age_30_44
111282,7.1,35512,age_45_99
120338,7.8,1078826,total
120338,7.7,571211,gender_m
120338,8.1,208005,gender_f
120338,8.1,695,age_0_17
120338,8.1,208530,age_18_29
120338,7.7,429793,age_30_44
120338,7.5,101901,age_45_99
120915,6.5,747425,total
120915,6.5,466638,gender_m
120915,6.7,70076,gender_f
120915,6.2,519,age_0_17
120915,6.6,115396,age_18_29
120915,6.5,301843,age_30_44
120915,6.3,92655,age_45_99
97576,8.2,707167,total
97576,8.2,447632,gender_m
97576,8.1,69673,gender_f
97576,8.3,343,age_0_17
97576,8.1,94058,age_18_29
97576,8.3,297093,age_30_44
97576,8.1,101011,age_45_99
112462,5.4,238693,total
112462,5.4,159630,gender_m
112462,5.8,23774,gender_f
112462,5.0,87,age_0_17
112462,5.5,27389,age_18_29
112462,5.4,120850,age_30_44
112462,5.3,28938,age_45_99
71853,8.2,510517,total
71853,8.2,318876,gender_m
71853,8.2,59181,gender_f
71853,8.4,215,age_0_17
71853,8.2,74530,age_18_29
71853,8.2,215171,age_30_44
71853,8.3,73617,age_45_99
100405,7.0,299158,total
100405,6.8,135503,gender_m
100405,7.5,89839,gender_f
100405,7.2,95,age_0_17
100405,7.2,43682,age_18_29
100405,6.9,129943,age_30_44
100405,7.0,43490,age_45_99
73486,8.7,940046,total
73486,8.7,570776,gender_m
73486,8.6,121556,gender_f
73486,8.9,383,age_0_17
73486,8.7,152743,age_18_29
73486,8.6,387177,age_30_44
73486,8.7,121114,age_45_99
110413,8.5,1065139,total
110413,8.5,648578,gender_m
110413,8.6,127324,gender_f
110413,8.5,539,age_0_17
110413,8.5,175977,age_18_29
110413,8.6,447192,age_30_44
110413,8.4,112113,age_45_99
109686,7.3,360820,total
109686,7.4,243702,gender_m
109686,6.6,38313,gender_f
109686,6.9,156,age_0_17
109686,7.2,54847,age_18_29
109686,7.4,181443,age_30_44
109686,6.8,35188,age_45_99
120903,7.4,581809,total
120903,7.3,365565,gender_m
120903,7.6,71552,gender_f
120903,7.3,285,age_0_17
120903,7.4,100918,age_18_29
120903,7.4,254953,age_30_44
120903,7.4,60078,age_45_99
113189,7.2,242921,total
113189,7.2,174307,gender_m
113189,6.9,15465,gender_f
113189,7.5,56,age_0_17
113189,7.3,26627,age_18_29
113189,7.2,123843,age_30_44
113189,7.0,33180,age_45_99
198781,8.1,837638,total
198781,8.0,459571,gender_m
198781,8.2,141674,gender_f
198781,8.1,689,age_0_17
198781,8.2,181571,age_18_29
198781,8.0,311570,age_30_44
198781,8.0,71841,age_45_99
88247,8.0,811674,total
88247,8.1,534797,gender_m
88247,7.7,68170,gender_f
88247,8.1,377,age_0_17
88247,7.9,111488,age_18_29
88247,8.0,355003,age_30_44
88247,8.2,106306,age_45_99
266697,8.1,1028831,total
266697,8.1,629309,gender_m
266697,8.1,126001,gender_f
266697,8.3,488,age_0_17
266697,8.2,168170,age_18_29
266697,8.1,446047,age_30_44
266697,7.9,103520,age_45_99
338013,8.3,934842,total
338013,8.3,537636,gender_m
338013,8.3,164500,gender_f
338013,8.6,409,age_0_17
338013,8.4,166413,age_18_29
338013,8.3,423960,age_30_44
338013,7.9,81390,age_45_99
105236,8.3,942960,total
105236,8.3,598502,gender_m
105236,8.1,85298,gender_f
105236,8.4,449,age_0_17
105236,8.3,154529,age_18_29
105236,8.3,394039,age_30_44
105236,8.2,101173,age_45_99
120586,8.5,1055399,total
120586,8.5,665506,gender_m
120586,8.6,126081,gender_f
120586,8.5,294,age_0_17
120586,8.6,171287,age_18_29
120586,8.5,485911,age_30_44
120586,8.1,94512,age_45_99
71562,9.0,1162817,total
71562,9.0,731931,gender_m
71562,8.7,99823,gender_f
71562,9.1,631,age_0_17
71562,9.0,182188,age_18_29
71562,9.0,468549,age_30_44
71562,8.9,133902,age_45_99
112431,6.8,119084,total
112431,6.8,68936,gender_m
112431,6.8,22859,gender_f
112431,7.0,33,age_0_17
112431,6.7,16054,age_18_29
112431,6.7,55068,age_30_44
112431,7.4,18472,age_45_99
90605,8.3,667839,total
90605,8.4,439937,gender_m
90605,8.1,55378,gender_f
90605,8.3,256,age_0_17
90605,8.2,76098,age_18_29
90605,8.4,287973,age_30_44
90605,8.5,108689,age_45_99
99685,8.7,1052173,total
99685,8.7,674129,gender_m
99685,8.3,86425,gender_f
99685,8.9,512,age_0_17
99685,8.7,162655,age_18_29
99685,8.7,431609,age_30_44
99685,8.6,126520,age_45_99
120382,8.1,971905,total
120382,8.1,566322,gender_m
120382,8.0,134910,gender_f
120382,8.6,546,age_0_17
120382,8.3,174409,age_18_29
120382,8.1,396933,age_30_44
120382,7.7,92650,age_45_99
83658,8.1,710414,total
83658,8.2,454388,gender_m
83658,7.8,60622,gender_f
83658,8.4,301,age_0_17
83658,8.0,91217,age_18_29
83658,8.0,282291,age_30_44
83658,8.5,117880,age_45_99
117998,6.4,182828,total
117998,6.3,114449,gender_m
117998,6.8,24701,gender_f
117998,6.8,40,age_0_17
117998,6.4,12929,age_18_29
117998,6.3,88431,age_30_44
117998,6.5,33426,age_45_99
268978,8.2,870803,total
268978,8.2,509384,gender_m
268978,8.2,129702,gender_f
268978,8.2,282,age_0_17
268978,8.4,158440,age_18_29
268978,8.2,362586,age_30_44
268978,7.8,82325,age_45_99
83866,7.8,381107,total
83866,7.8,228914,gender_m
83866,7.9,55899,gender_f
83866,7.9,217,age_0_17
83866,7.7,52384,age_18_29
83866,7.8,162501,age_30_44
83866,8.1,59892,age_45_99
145487,7.3,705620,total
145487,7.3,440520,gender_m
145487,7.1,81394,gender_f
145487,7.6,489,age_0_17
145487,7.4,134324,age_18_29
145487,7.2,293664,age_30_44
145487,7.3,69058,age_45_99
145660,6.6,221087,total
145660,6.7,145898,gender_m
145660,6.3,23320,gender_f
145660,7.0,46,age_0_17
145660,6.7,24427,age_18_29
145660,6.6,108316,age_30_44
145660,6.5,31842,age_45_99
117500,7.4,319377,total
117500,7.4,224116,gender_m
117500,7.3,22786,gender_f
117500,7.9,39,age_0_17
117500,7.4,24909,age_18_29
117500,7.5,166054,age_30_44
117500,7.2,47890,age_45_99
87332,7.8,365004,total
87332,7.8,231646,gender_m
87332,7.6,43378,gender_f
87332,8.0,187,age_0_17
87332,7.5,45383,age_18_29
87332,7.8,165608,age_30_44
87332,7.8,52682,age_45_99
66921,8.3,774780,total
66921,8.3,472704,gender_m
66921,8.1,96978,gender_f
66921,8.7,361,age_0_17
66921,8.4,125965,age_18_29
66921,8.3,328105,age_30_44
66921,8.0,91123,age_45_99
211915,8.3,717405,total
211915,8.2,389637,gender_m
211915,8.4,150558,gender_f
211915,7.8,232,age_0_17
211915,8.2,116290,age_18_29
211915,8.3,322835,age_30_44
211915,8.3,79820,age_45_99
181689,7.6,519382,total
181689,7.6,348644,gender_m
181689,7.5,52003,gender_f
181689,7.8,119,age_0_17
181689,7.7,64752,age_18_29
181689,7.6,253653,age_30_44
181689,7.5,67266,age_45_99
67992,7.8,183893,total
67992,7.8,100477,gender_m
67992,7.9,35336,gender_f
67992,7.7,110,age_0_17
67992,7.7,27831,age_18_29
67992,7.8,74499,age_30_44
67992,7.8,27924,age_45_99
240772,7.7,531008,total
240772,7.7,335391,gender_m
240772,7.7,67617,gender_f
240772,7.8,211,age_0_17
240772,7.9,87311,age_18_29
240772,7.7,243931,age_30_44
240772,7.5,55868,age_45_99
372784,8.2,1342201,total
372784,8.3,844653,gender_m
372784,8.0,135434,gender_f
372784,8.1,764,age_0_17
372784,8.3,250129,age_18_29
372784,8.2,562450,age_30_44
372784,8.0,108565,age_45_99
99785,7.6,500441,total
99785,7.6,281173,gender_m
99785,7.7,78895,gender_f
99785,7.8,451,age_0_17
99785,7.7,94262,age_18_29
99785,7.6,206485,age_30_44
99785,7.1,41815,age_45_99
119116,7.7,443953,total
119116,7.6,284504,gender_m
119116,7.9,54896,gender_f
119116,7.2,66,age_0_17
119116,7.5,44963,age_18_29
119116,7.7,215024,age_30_44
119116,7.7,67447,age_45_99
114898,6.2,185721,total
114898,6.2,128999,gender_m
114898,6.1,16649,gender_f
114898,6.1,18,age_0_17
114898,6.3,13476,age_18_29
114898,6.3,96112,age_30_44
114898,6.0,31838,age_45_99
99653,7.1,202674,total
99653,7.0,111612,gender_m
99653,7.2,45634,gender_f
99653,7.1,45,age_0_17
99653,7.1,21690,age_18_29
99653,7.0,95731,age_30_44
99653,7.1,35084,age_45_99
264464,8.1,866077,total
264464,8.1,494750,gender_m
264464,8.1,117980,gender_f
264464,8.3,518,age_0_17
264464,8.3,164146,age_18_29
264464,8.0,338936,age_30_44
264464,7.7,73336,age_45_99
88847,7.8,366969,total
88847,7.8,190976,gender_m
88847,8.0,81463,gender_f
88847,8.1,237,age_0_17
88847,7.9,74718,age_18_29
88847,7.8,140623,age_30_44
88847,7.9,45577,age_45_99
113957,5.9,62032,total
113957,5.8,36501,gender_m
113957,6.3,10085,gender_f
113957,5.0,5,age_0_17
113957,6.1,2620,age_18_29
113957,5.9,28442,age_30_44
113957,6.0,14397,age_45_99
258463,7.9,518939,total
258463,7.9,351937,gender_m
258463,7.8,51154,gender_f
258463,7.7,137,age_0_17
258463,7.8,79988,age_18_29
258463,7.9,243739,age_30_44
258463,7.9,63199,age_45_99
120689,8.6,1183967,total
120689,8.5,686450,gender_m
120689,8.7,160803,gender_f
120689,8.7,601,age_0_17
120689,8.7,196368,age_18_29
120689,8.5,476465,age_30_44
120689,8.3,122919,age_45_99
378194,8.0,701523,total
378194,8.0,447221,gender_m
378194,8.1,80911,gender_f
378194,8.1,343,age_0_17
378194,8.1,110706,age_18_29
378194,8.0,323575,age_30_44
378194,7.8,72317,age_45_99
109444,6.9,92931,total
109444,6.9,64288,gender_m
109444,6.8,6018,gender_f
109444,7.3,15,age_0_17
109444,6.8,4233,age_18_29
109444,6.9,38909,age_30_44
109444,7.0,24857,age_45_99
190332,7.8,257826,total
190332,7.8,168659,gender_m
190332,7.9,30172,gender_f
190332,7.8,37,age_0_17
190332,7.8,21584,age_18_29
190332,7.8,127470,age_30_44
190332,8.0,45779,age_45_99
113497,7.0,317885,total
113497,6.9,185334,gender_m
113497,7.3,52254,gender_f
113497,7.1,214,age_0_17
113497,7.1,55012,age_18_29
113497,7.0,142854,age_30_44
113497,6.7,28707,age_45_99
62622,8.3,619293,total
62622,8.3,393569,gender_m
62622,7.9,51935,gender_f
62622,8.8,347,age_0_17
62622,8.4,90643,age_18_29
62622,8.2,241033,age_30_44
62622,8.3,94655,age_45_99
91042,7.8,329667,total
91042,7.8,194065,gender_m
91042,7.8,52041,gender_f
91042,8.1,179,age_0_17
91042,7.8,52353,age_18_29
91042,7.7,134068,age_30_44
91042,7.9,49985,age_45_99
81505,8.4,926477,total
81505,8.4,538655,gender_m
81505,8.3,126567,gender_f
81505,8.7,601,age_0_17
81505,8.4,162427,age_18_29
81505,8.4,365425,age_30_44
81505,8.4,103529,age_45_99
110148,7.5,300868,total
110148,7.5,171717,gender_m
110148,7.8,65650,gender_f
110148,7.6,46,age_0_17
110148,7.5,34272,age_18_29
110148,7.6,155472,age_30_44
110148,7.3,40138,age_45_99
246578,8.0,754857,total
246578,8.0,468298,gender_m
246578,8.0,111991,gender_f
246578,8.4,233,age_0_17
246578,8.2,130061,age_18_29
246578,8.0,357934,age_30_44
246578,7.7,70067,age_45_99
111280,6.6,77985,total
111280,6.6,52942,gender_m
111280,6.9,5502,gender_f
111280,5.7,18,age_0_17
111280,6.4,3459,age_18_29
111280,6.6,33315,age_30_44
111280,6.6,19815,age_45_99
87469,7.5,459258,total
87469,7.5,296504,gender_m
87469,7.5,42021,gender_f
87469,7.4,284,age_0_17
87469,7.4,62192,age_18_29
87469,7.6,196408,age_30_44
87469,7.5,64480,age_45_99
407887,8.5,1223117,total
407887,8.5,776752,gender_m
407887,8.3,130527,gender_f
407887,8.6,494,age_0_17
407887,8.7,209641,age_18_29
407887,8.5,539234,age_30_44
407887,8.1,108916,age_45_99
241527,7.6,684507,total
241527,7.4,355232,gender_m
241527,8.1,127831,gender_f
241527,7.9,664,age_0_17
241527,7.9,154904,age_18_29
241527,7.4,245348,age_30_44
241527,7.4,58697,age_45_99
78788,8.4,621573,total
78788,8.5,413179,gender_m
78788,8.1,44678,gender_f
78788,8.7,234,age_0_17
78788,8.5,78439,age_18_29
78788,8.4,261118,age_30_44
78788,8.5,100312,age_45_99
118715,8.1,753412,total
118715,8.1,488857,gender_m
118715,7.8,73193,gender_f
118715,8.2,284,age_0_17
118715,8.0,115202,age_18_29
118715,8.1,333005,age_30_44
118715,8.0,89193,age_45_99
108160,6.8,164688,total
108160,6.7,82425,gender_m
108160,7.0,42984,gender_f
108160,6.8,33,age_0_17
108160,6.9,18047,age_18_29
108160,6.8,72532,age_30_44
108160,6.9,30895,age_45_99
129387,7.1,296518,total
129387,7.2,183828,gender_m
129387,6.6,47561,gender_f
129387,6.7,39,age_0_17
129387,6.8,31471,age_18_29
129387,7.1,147289,age_30_44
129387,7.3,46508,age_45_99
1049413,8.2,961734,total
1049413,8.2,536482,gender_m
1049413,8.4,166844,gender_f
1049413,8.3,794,age_0_17
1049413,8.3,206282,age_18_29
1049413,8.2,380681,age_30_44
1049413,8.1,73537,age_45_99
109445,7.7,214248,total
109445,7.7,146423,gender_m
109445,7.5,20154,gender_f
109445,8.0,35,age_0_17
109445,7.8,21521,age_18_29
109445,7.7,110542,age_30_44
109445,7.6,30957,age_45_99
112697,6.8,193169,total
112697,6.6,71641,gender_m
112697,7.2,65509,gender_f
112697,7.2,128,age_0_17
112697,7.0,34122,age_18_29
112697,6.7,76557,age_30_44
112697,6.8,21007,age_45_99
75314,8.3,748317,total
75314,8.3,473114,gender_m
75314,8.0,69179,gender_f
75314,8.7,459,age_0_17
75314,8.3,129108,age_18_29
75314,8.2,304175,age_30_44
75314,8.3,83904,age_45_99
910970,8.4,1027902,total
910970,8.4,604277,gender_m
910970,8.4,152765,gender_f
910970,8.6,820,age_0_17
910970,8.4,200380,age_18_29
910970,8.4,429588,age_30_44
910970,8.2,84533,age_45_99
112740,7.3,104965,total
112740,7.3,74725,gender_m
112740,7.2,5844,gender_f
112740,7.5,7,age_0_17
112740,7.4,5713,age_18_29
112740,7.3,47664,age_30_44
112740,7.3,24721,age_45_99
109831,7.1,143645,total
109831,7.1,74163,gender_m
109831,7.1,35184,gender_f
109831,7.0,35,age_0_17
109831,7.0,15359,age_18_29
109831,6.9,60415,age_30_44
109831,7.4,30696,age_45_99
163651,7.0,384798,total
163651,7.1,251135,gender_m
163651,6.5,50621,gender_f
163651,7.0,94,age_0_17
163651,7.1,65555,age_18_29
163651,7.0,190961,age_30_44
163651,6.8,36212,age_45_99
113277,8.2,595480,total
113277,8.3,410282,gender_m
113277,7.8,36506,gender_f
113277,8.1,188,age_0_17
113277,8.2,73206,age_18_29
113277,8.3,272277,age_30_44
113277,8.1,81902,age_45_99
117951,8.1,647331,total
117951,8.1,397900,gender_m
117951,8.1,89080,gender_f
117951,8.2,185,age_0_17
117951,8.2,101918,age_18_29
117951,8.1,291801,age_30_44
117951,8.0,73357,age_45_99
295297,7.4,571886,total
295297,7.3,305853,gender_m
295297,7.9,108600,gender_f
295297,7.7,525,age_0_17
295297,7.7,133236,age_18_29
295297,7.2,214300,age_30_44
295297,7.3,47512,age_45_99
93058,8.3,690934,total
93058,8.3,458252,gender_m
93058,8.1,49653,gender_f
93058,8.3,295,age_0_17
93058,8.2,102212,age_18_29
93058,8.3,294019,age_30_44
93058,8.2,87563,age_45_99
114069,6.6,123094,total
114069,6.6,81851,gender_m
114069,6.7,13579,gender_f
114069,5.3,19,age_0_17
114069,6.6,6888,age_18_29
114069,6.6,59049,age_30_44
114069,6.6,26324,age_45_99
106582,6.4,122395,total
106582,6.4,88968,gender_m
106582,6.3,6789,gender_f
106582,7.1,13,age_0_17
106582,6.5,6839,age_18_29
106582,6.4,62764,age_30_44
106582,6.4,23148,age_45_99
34583,8.5,534012,total
34583,8.5,311158,gender_m
